MAIN_ACT,amount,YEAR
root,,
2021,,root
2020,,root
2019,,root
2018,,root
2017,,root
2016,,root
2015,,root
2014,,root
2013,,root
2012,,root
2011,,root
2010,,root
2009,,root
2008,,root
 manufacture of ceramic,9051221,2021
 production of pulp or other fibrous materials ,23208522,2021
Aviation,22536022,2021
Capture of greenhouse gases ,0,2021
Combustion installations ,3103579,2021
Combustion of fuels,93822856,2021
manufacture of glass,11985415,2021
Manufacture of mineral wool,1198364,2021
Metal ore roasting or sintering,1997729,2021
Mineral oil refineries,6215749,2021
Other activity,1375631,2021
Prodcution of aluminium,8163334,2021
Production of adipic acid,765469,2021
Production of ammonia,15986120,2021
Production of bulk chemicals,32972653,2021
Production of carbon black,1125129,2021
production of cement clinker ,97044626,2021
Production of coke,3571802,2021
Production of glyoxal and glyoxylic acid,0,2021
Production of gypsum or plasterboard,290802,2021
Production of hydrogen and synthesis gas,5465601,2021
Production of metals,15410623,2021
Production of nitric acid,3249648,2021
production of pig iron or steel ,115921651,2021
Production of quicklime,18780758,2021
Production of sodium carbonates,4485250,2021
Refining of mineral oil,73472257,2021
 manufacture of ceramic,11423707,2020
 production of pulp or other fibrous materials ,24911080,2020
Aviation,31624315,2020
Capture of greenhouse gases ,3353,2020
Combustion installations ,8378734,2020
Combustion of fuels,128016956,2020
manufacture of glass,13096067,2020
Manufacture of mineral wool,1280119,2020
Metal ore roasting or sintering,1647655,2020
Mineral oil refineries,6075714,2020
Other activity,1608639,2020
Prodcution of aluminium,7646613,2020
Production of adipic acid,951286,2020
Production of ammonia,16200904,2020
Production of bulk chemicals,35872688,2020
Production of carbon black,1216913,2020
production of cement clinker ,116341826,2020
Production of coke,8907922,2020
Production of glyoxal and glyoxylic acid,7410,2020
Production of gypsum or plasterboard,999931,2020
Production of hydrogen and synthesis gas,7027212,2020
Production of metals,16932723,2020
Production of nitric acid,3817244,2020
production of pig iron or steel ,120325667,2020
Production of quicklime,23413028,2020
Production of sodium carbonates,4628409,2020
Refining of mineral oil,77446343,2020
 manufacture of ceramic,11981849,2019
 production of pulp or other fibrous materials ,25753219,2019
Aviation,31199681,2019
Capture of greenhouse gases ,4233,2019
Combustion installations ,9152492,2019
Combustion of fuels,138376361,2019
manufacture of glass,13402666,2019
Manufacture of mineral wool,1346572,2019
Metal ore roasting or sintering,1683775,2019
Mineral oil refineries,6204798,2019
Other activity,1610811,2019
Prodcution of aluminium,7996990,2019
Production of adipic acid,971315,2019
Production of ammonia,16545850,2019
Production of bulk chemicals,36694951,2019
Production of carbon black,1247088,2019
production of cement clinker ,119023773,2019
Production of coke,9428944,2019
Production of glyoxal and glyoxylic acid,7567,2019
Production of gypsum or plasterboard,1027556,2019
Production of hydrogen and synthesis gas,7173056,2019
Production of metals,17498815,2019
Production of nitric acid,4060364,2019
production of pig iron or steel ,127863594,2019
Production of quicklime,24102860,2019
Production of sodium carbonates,4675000,2019
Refining of mineral oil,79053340,2019
 manufacture of ceramic,12302553,2018
 production of pulp or other fibrous materials ,26512745,2018
Aviation,31269688,2018
Capture of greenhouse gases ,5146,2018
Combustion installations ,9769193,2018
Combustion of fuels,149411389,2018
manufacture of glass,13760164,2018
Manufacture of mineral wool,1401900,2018
Metal ore roasting or sintering,1719834,2018
Mineral oil refineries,6333489,2018
Other activity,1619482,2018
Prodcution of aluminium,8162025,2018
Production of adipic acid,991275,2018
Production of ammonia,16602608,2018
Production of bulk chemicals,37525240,2018
Production of carbon black,1333727,2018
production of cement clinker ,119897596,2018
Production of coke,9680719,2018
Production of glyoxal and glyoxylic acid,7722,2018
Production of gypsum or plasterboard,1050368,2018
Production of hydrogen and synthesis gas,7327134,2018
Production of metals,18056986,2018
Production of nitric acid,4140487,2018
production of pig iron or steel ,128074802,2018
Production of quicklime,24596442,2018
Production of sodium carbonates,4801515,2018
Refining of mineral oil,82216264,2018
 manufacture of ceramic,12573228,2017
 production of pulp or other fibrous materials ,27321714,2017
Aviation,31812366,2017
Capture of greenhouse gases ,6089,2017
Combustion installations ,10686807,2017
Combustion of fuels,161568748,2017
manufacture of glass,14224481,2017
Manufacture of mineral wool,1406940,2017
Metal ore roasting or sintering,1755521,2017
Mineral oil refineries,6460655,2017
Other activity,1664963,2017
Prodcution of aluminium,8325053,2017
Production of adipic acid,1010988,2017
Production of ammonia,17264755,2017
Production of bulk chemicals,38196798,2017
Production of carbon black,1376678,2017
production of cement clinker ,123200402,2017
Production of coke,9874371,2017
Production of glyoxal and glyoxylic acid,7875,2017
Production of gypsum or plasterboard,1072986,2017
Production of hydrogen and synthesis gas,7509955,2017
Production of metals,18299974,2017
Production of nitric acid,4278146,2017
production of pig iron or steel ,134559232,2017
Production of quicklime,24716126,2017
Production of sodium carbonates,4897451,2017
Refining of mineral oil,83763676,2017
 manufacture of ceramic,12915985,2016
 production of pulp or other fibrous materials ,28550664,2016
Aviation,31831142,2016
Capture of greenhouse gases ,7064,2016
Combustion installations ,11402634,2016
Combustion of fuels,174860830,2016
manufacture of glass,14579146,2016
Manufacture of mineral wool,1481584,2016
Metal ore roasting or sintering,1790941,2016
Mineral oil refineries,6586654,2016
Other activity,1714047,2016
Prodcution of aluminium,8420167,2016
Production of adipic acid,1030514,2016
Production of ammonia,17602239,2016
Production of bulk chemicals,38981302,2016
Production of carbon black,1495446,2016
production of cement clinker ,127254458,2016
Production of coke,10309020,2016
Production of glyoxal and glyoxylic acid,8027,2016
Production of gypsum or plasterboard,1042535,2016
Production of hydrogen and synthesis gas,7673747,2016
Production of metals,18792621,2016
Production of nitric acid,4453579,2016
production of pig iron or steel ,138113249,2016
Production of quicklime,25786351,2016
Production of sodium carbonates,4992482,2016
Refining of mineral oil,85182891,2016
 manufacture of ceramic,13220160,2015
 production of pulp or other fibrous materials ,29797670,2015
Aviation,31995818,2015
Capture of greenhouse gases ,8071,2015
Combustion installations ,12550697,2015
Combustion of fuels,190968748,2015
manufacture of glass,14959909,2015
Manufacture of mineral wool,1509693,2015
Metal ore roasting or sintering,1826051,2015
Mineral oil refineries,6711371,2015
Other activity,1773539,2015
Prodcution of aluminium,8578735,2015
Production of adipic acid,1049829,2015
Production of ammonia,17654527,2015
Production of bulk chemicals,39639707,2015
Production of carbon black,1529273,2015
production of cement clinker ,127327034,2015
Production of coke,10646657,2015
Production of glyoxal and glyoxylic acid,8178,2015
Production of gypsum or plasterboard,1089321,2015
Production of hydrogen and synthesis gas,7646973,2015
Production of metals,19072229,2015
Production of nitric acid,4486164,2015
production of pig iron or steel ,143111996,2015
Production of quicklime,26164017,2015
Production of sodium carbonates,5086518,2015
Refining of mineral oil,87526076,2015
 manufacture of ceramic,13653297,2014
 production of pulp or other fibrous materials ,31049826,2014
Aviation,32249090,2014
Capture of greenhouse gases ,9110,2014
Combustion installations ,13858852,2014
Combustion of fuels,211602802,2014
manufacture of glass,15427509,2014
Manufacture of mineral wool,1540768,2014
Metal ore roasting or sintering,1860876,2014
Mineral oil refineries,6834859,2014
Other activity,1884845,2014
Prodcution of aluminium,8923593,2014
Production of adipic acid,1068946,2014
Production of ammonia,18395862,2014
Production of bulk chemicals,42480053,2014
Production of carbon black,1563032,2014
production of cement clinker ,128942207,2014
Production of coke,10895409,2014
Production of glyoxal and glyoxylic acid,8326,2014
Production of gypsum or plasterboard,1106247,2014
Production of hydrogen and synthesis gas,8041299,2014
Production of metals,19730631,2014
Production of nitric acid,4577855,2014
production of pig iron or steel ,147319469,2014
Production of quicklime,27091511,2014
Production of sodium carbonates,5798629,2014
Refining of mineral oil,91419843,2014
 manufacture of ceramic,15005762,2013
 production of pulp or other fibrous materials ,32420799,2013
Aviation,32414340,2013
Capture of greenhouse gases ,10837,2013
Combustion installations ,15031943,2013
Combustion of fuels,229951719,2013
manufacture of glass,15985723,2013
Manufacture of mineral wool,1575916,2013
Metal ore roasting or sintering,1981495,2013
Mineral oil refineries,7363360,2013
Other activity,1931629,2013
Prodcution of aluminium,9210354,2013
Production of adipic acid,1087840,2013
Production of ammonia,19323949,2013
Production of bulk chemicals,43469925,2013
Production of carbon black,1596667,2013
production of cement clinker ,141741004,2013
Production of coke,11089580,2013
Production of glyoxal and glyoxylic acid,8474,2013
Production of gypsum or plasterboard,900481,2013
Production of hydrogen and synthesis gas,8184397,2013
Production of metals,20484193,2013
Production of nitric acid,4634928,2013
production of pig iron or steel ,151207998,2013
Production of quicklime,28262429,2013
Production of sodium carbonates,5901606,2013
Refining of mineral oil,93901245,2013
 manufacture of ceramic,16152099,2012
 production of pulp or other fibrous materials ,39305640,2012
Aviation,170722124,2012
Capture of greenhouse gases ,17387,2012
Combustion installations ,81045542,2012
Combustion of fuels,1235981370,2012
manufacture of glass,23018906,2012
Manufacture of mineral wool,2127790,2012
Metal ore roasting or sintering,3090476,2012
Mineral oil refineries,9942955,2012
Other activity,5921953,2012
Prodcution of aluminium,661175,2012
Production of adipic acid,0,2012
Production of ammonia,2985024,2012
Production of bulk chemicals,28551993,2012
Production of carbon black,1816234,2012
production of cement clinker ,180062347,2012
Production of coke,14157659,2012
Production of glyoxal and glyoxylic acid,0,2012
Production of gypsum or plasterboard,370962,2012
Production of hydrogen and synthesis gas,588209,2012
Production of metals,13879628,2012
Production of nitric acid,694074,2012
production of pig iron or steel ,168583073,2012
Production of quicklime,36765783,2012
Production of sodium carbonates,1095905,2012
Refining of mineral oil,128219856,2012
 manufacture of ceramic,15846948,2011
 production of pulp or other fibrous materials ,37938099,2011
Aviation,0,2011
Capture of greenhouse gases ,17387,2011
Combustion installations ,80996374,2011
Combustion of fuels,1202229825,2011
manufacture of glass,22850719,2011
Manufacture of mineral wool,2118753,2011
Metal ore roasting or sintering,3074634,2011
Mineral oil refineries,9942955,2011
Other activity,5587254,2011
Prodcution of aluminium,515562,2011
Production of adipic acid,0,2011
Production of ammonia,2726922,2011
Production of bulk chemicals,28271528,2011
Production of carbon black,1809104,2011
production of cement clinker ,177882403,2011
Production of coke,14136820,2011
Production of glyoxal and glyoxylic acid,0,2011
Production of gypsum or plasterboard,370829,2011
Production of hydrogen and synthesis gas,588209,2011
Production of metals,13958877,2011
Production of nitric acid,719187,2011
production of pig iron or steel ,168281715,2011
Production of quicklime,35746211,2011
Production of sodium carbonates,1095905,2011
Refining of mineral oil,124696467,2011
 manufacture of ceramic,15975911,2010
 production of pulp or other fibrous materials ,37590790,2010
Aviation,0,2010
Capture of greenhouse gases ,17387,2010
Combustion installations ,80310147,2010
Combustion of fuels,1183579666,2010
manufacture of glass,22199954,2010
Manufacture of mineral wool,1983681,2010
Metal ore roasting or sintering,3054432,2010
Mineral oil refineries,9942955,2010
Other activity,5014265,2010
Prodcution of aluminium,515120,2010
Production of adipic acid,0,2010
Production of ammonia,2580939,2010
Production of bulk chemicals,28139842,2010
Production of carbon black,1829833,2010
production of cement clinker ,177733988,2010
Production of coke,14177489,2010
Production of glyoxal and glyoxylic acid,0,2010
Production of gypsum or plasterboard,370829,2010
Production of hydrogen and synthesis gas,588210,2010
Production of metals,13630037,2010
Production of nitric acid,719185,2010
production of pig iron or steel ,167051251,2010
Production of quicklime,35971330,2010
Production of sodium carbonates,1095905,2010
Refining of mineral oil,124708794,2010
 manufacture of ceramic,15145013,2009
 production of pulp or other fibrous materials ,36264680,2009
Aviation,0,2009
Capture of greenhouse gases ,17387,2009
Combustion installations ,78206794,2009
Combustion of fuels,1159058384,2009
manufacture of glass,21688235,2009
Manufacture of mineral wool,1939044,2009
Metal ore roasting or sintering,3018007,2009
Mineral oil refineries,9942955,2009
Other activity,5399816,2009
Prodcution of aluminium,514905,2009
Production of adipic acid,0,2009
Production of ammonia,3223280,2009
Production of bulk chemicals,28077566,2009
Production of carbon black,1756923,2009
production of cement clinker ,176026222,2009
Production of coke,13877565,2009
Production of glyoxal and glyoxylic acid,0,2009
Production of gypsum or plasterboard,370829,2009
Production of hydrogen and synthesis gas,588211,2009
Production of metals,13590173,2009
Production of nitric acid,499546,2009
production of pig iron or steel ,165487461,2009
Production of quicklime,35119260,2009
Production of sodium carbonates,1095905,2009
Refining of mineral oil,120827312,2009
 manufacture of ceramic,14680607,2008
 production of pulp or other fibrous materials ,35047645,2008
Aviation,0,2008
Capture of greenhouse gases ,17095,2008
Combustion installations ,76568718,2008
Combustion of fuels,1152008866,2008
manufacture of glass,21398361,2008
Manufacture of mineral wool,1811914,2008
Metal ore roasting or sintering,2951671,2008
Mineral oil refineries,9942958,2008
Other activity,5068249,2008
Prodcution of aluminium,514905,2008
Production of adipic acid,0,2008
Production of ammonia,1846223,2008
Production of bulk chemicals,27211100,2008
Production of carbon black,1738597,2008
production of cement clinker ,173602826,2008
Production of coke,13962599,2008
Production of glyoxal and glyoxylic acid,0,2008
Production of gypsum or plasterboard,369285,2008
Production of hydrogen and synthesis gas,588211,2008
Production of metals,13530092,2008
Production of nitric acid,480722,2008
production of pig iron or steel ,165060298,2008
Production of quicklime,34412940,2008
Production of sodium carbonates,1083931,2008
Refining of mineral oil,119847064,2008
